rank,toi,tic,ra_deg,dec_deg,Tmag,Teff_K,sectors_initial,sectors_current,n_current,new_sectors,n_new,TIC_ID_norm,Rstar_Rsun,contam_ratio,crowding,rank_score,justification
44,1563.01,249945230,38.8094533877317,48.2741863783731,9.4397,4582.0,,18;58;85,3,18;58;85,3,249945230,0.743945,0.046554137,0.9555167426565722,0.8671706123375952,R*~0.74 R☉; contam~0.05; crowding~0.96; Tmag~9.4
45,3485.01,394672497,201.749651860337,-73.5942820342184,9.6181,4554.0,,11;12;38;39;65,5,11;12;38;39;65,5,394672497,0.774212,0.0500440337,0.9523410141918889,0.8575374462207548,R*~0.77 R☉; contam~0.05; crowding~0.95; Tmag~9.6
46,197.01,441462736,353.033635022551,-21.801421336347,7.3566,5083.0,,2;29;96,3,2;29;96,3,441462736,2.90324,,,0.8338271014430092,R*~2.90 R☉; Tmag~7.4
47,1823.01,142381532,196.220356075357,63.7537909676205,9.7722,4760.0,,14;15;21;22;41;48;49;75;76,9,14;15;21;22;41;48;49;75;76,9,142381532,0.822372,0.06409204,0.9397683305665927,0.8228027748098249,R*~0.82 R☉; contam~0.06; crowding~0.94; Tmag~9.8
48,2459.01,192790476,82.1428387167046,-39.3731177075233,9.3951,4195.0,,5;6;32;33;87,5,5;6;32;33;87,5,192790476,0.675093,0.06857762,0.9358234547341538,0.8202403361567807,R*~0.68 R☉; contam~0.07; crowding~0.94; Tmag~9.4
49,5396.01,202428245,227.190884180172,62.9592555442509,9.3373,5019.0,,15;16;21;22;23;41;48;49;50;75;77,11,15;16;21;22;23;41;48;49;50;75;77,11,202428245,3.36984,,,0.8095618653200848,R*~3.37 R☉; Tmag~9.3
50,1759.01,408636441,326.853292916282,62.7538613856672,9.92838,3960.0,,16;17;24;56;57;58;76;77;78;83;84;85,12,16;17;24;56;57;58;76;77;78;83;84;85,12,408636441,0.627046,0.0795498341,0.9263120315642314,0.79787401619301,R*~0.63 R☉; contam~0.08; crowding~0.93; Tmag~9.9
51,6075.01,424388628,281.039970014929,75.9909349650465,9.4287,4193.0,,14;15;16;17;18;19;20;21;23;24;25;26;40;41;47;48;49;50;51;52;53;54;55;56;57;58;59;60;73;74;75;76;77;78;79;80;81;82;83;84;85;86,42,14;15;16;17;18;19;20;21;23;24;25;26;40;41;47;48;49;50;51;52;53;54;55;56;57;58;59;60;73;74;75;76;77;78;79;80;81;82;83;84;85;86,42,424388628,0.725064,0.1132411,0.8982780100375382,0.7175977853837991,R*~0.73 R☉; contam~0.11; crowding~0.90; Tmag~9.4
52,1958.01,356747847,175.336019500518,-78.1630195164497,9.9055,4957.0,,11;12;38;39;64;65;66;93,8,11;12;38;39;64;65;66;93,8,356747847,5.42249,,,0.7028151080810774,R*~5.42 R☉; Tmag~9.9
53,4424.01,326386495,268.244775721117,-48.5623402019298,9.8496,4926.19,,13;39;66;93,4,13;39;66;93,4,326386495,0.685403,0.129370034,0.8854493831912669,0.6842620432595395,R*~0.69 R☉; contam~0.13; crowding~0.89; Tmag~9.8
54,186.01,279741379,51.746761965648,-63.4991005063024,6.9934,4628.53,,1;2;3;4;28;29;30;34;61;64;68;69;88;95;96,15,1;2;3;4;28;29;30;34;61;64;68;69;88;95;96,15,279741379,0.705464,0.139429048,0.8776325316221006,0.6613260376970562,R*~0.71 R☉; contam~0.14; crowding~0.88; Tmag~7.0
55,866.01,381976956,77.5468146323074,-57.5866694957188,9.0099,5091.0,,1;2;3;4;5;6;7;8;9;10;11;12;13;27;29;30;31;32;33;34;35;36;37;38;39;61;62;63;64;65;66;67;68;69;87;88;89;90;93;94;95;96,42,1;2;3;4;5;6;7;8;9;10;11;12;13;27;29;30;31;32;33;34;35;36;37;38;39;61;62;63;64;65;66;67;68;69;87;88;89;90;93;94;95;96,42,381976956,6.51851,,,0.6458172853304394,R*~6.52 R☉; Tmag~9.0
56,880.03,34077285,94.164469091783,-13.9874370231242,9.2563,4935.0,,6;33;87,3,6;33;87,3,34077285,0.816999,0.155557737,0.8653829817246076,0.6207067380366768,R*~0.82 R☉; contam~0.16; crowding~0.87; Tmag~9.3
57,815.01,102840239,155.871884417348,-43.8349553422793,9.36,4953.89,,9;10;36;63;90,5,9;10;36;63;90,5,102840239,0.759387,0.158261374,0.863362987359708,0.6178995172783945,R*~0.76 R☉; contam~0.16; crowding~0.86; Tmag~9.4
58,1643.01,298647682,272.264605912656,53.2176337531872,8.6628,4763.0,,14;15;18;21;24;25;26;40;41;48;51;52;53;54;55;56;57;58;59;60;73;74;75;78;79;81;82;84;85;86,30,14;15;18;21;24;25;26;40;41;48;51;52;53;54;55;56;57;58;59;60;73;74;75;78;79;81;82;84;85;86,30,298647682,0.777584,0.159375027,0.8625336726353344,0.6145655016714241,R*~0.78 R☉; contam~0.16; crowding~0.86; Tmag~8.7
59,1487.01,459978312,255.565616247128,64.6007401529704,5.28906,5047.0,,14;15;16;17;18;19;20;21;22;24;25;26;40;41;47;48;49;50;51;52;53;54;55;56;57;58;59;60;74;75;76;77;78;79;80;81;82;83;84;85;86,41,14;15;16;17;18;19;20;21;22;24;25;26;40;41;47;48;49;50;51;52;53;54;55;56;57;58;59;60;74;75;76;77;78;79;80;81;82;83;84;85;86,41,459978312,8.94912,,,0.5194149587707707,R*~8.95 R☉; Tmag~5.3
60,687.01,74534430,137.671343850792,-45.0975156469103,9.8445,4243.0,,8;9;35;36;62;63;89,7,8;9;35;36;62;63;89,7,74534430,0.617519,0.2501276,0.7999183443354103,0.4332796089734108,R*~0.62 R☉; contam~0.25; crowding~0.80; Tmag~9.8
